como se crea una cedula?,Cedulas / nits
no me aparece el informe de la axuiliar,informe auxiliar no visible
como saco un certificado de retencion,certificado de retencion
como hago una consulta de cartera,consulta cartera
donde creo una familia?,familias
como hago una devolucion?,nota credito
como hago para crear una bodega?,bodegas
como asigno un comprobante de compras,comprobante compras
no me deja hacer nota credito,no permite nota credito
no veo los productos,productos no visible
como reimprimo una impresión?,reimprimir colilla empleado
como saco una resolucion de factura?,resolucion factura
como asgino una bodega a un usuario,bodega usuario
como imprimo multiples documentos,imprimir rango documentos
como creo un centro de costos?,centros de costos
como puedo calcular la retencion de ventas?,retencion de ventas
como cambio el tipo de impresion?,tipo impresion
como se agregan empleados?,empleado nomina
como saco el formato de 2276,Formato 2276
como le agrego una novedad a un empleado,novedades
como exporto la nomina?,exportar nomina
como cierro un periodo de nomina,cerrar periodo
How do you create a cedula?,Cedulas / nits
The auxiliary report does not appear,informe auxiliar no visible
How do I get a withholding certificate,certificado de retencion
How do I do a portfolio query,consulta cartera
where I create a family?,familias
How do I make a return?,nota credito
How do I create a winery?,bodegas
How do I assign a purchase receipt,comprobante compras
It does not let me make a credit note,no permite nota credito
I don't see the products,productos no visible
How do I reprint a printout?,reimprimir colilla empleado
How do I get an invoice resolution?,resolucion factura
How do I assign a warehouse to a user,bodega usuario
How do I print multiple documents,imprimir rango documentos
How do I create a cost center?,centros de costos
How can I calculate the retention of sales?,retencion de ventas
How do I change the print type?,tipo impresion
how are employees added?,empleado nomina
How do I get the format of 2276,Formato 2276
How do I add a new item to an employee,novedades
How do I export the payroll?,exportar nomina
How do I close a payroll period,cerrar periodo